"filename", "language", "YAML", "Markdown", "JSON", "Dart", "C++", "CMake", "HTML", "Swift", "XML", "Java Properties", "Gradle", "comment", "blank", "total"
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 3, 4, 15
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\pubspec.yaml", "YAML", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 22, 122
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\test\widget_test.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 16, 6, 60
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\web\manifest.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 4, 5, 15
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 4, 15, 67
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\windows\runner\main.cpp", "C++", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\windows\runner\resource.h", "C++", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 2, 10, 65
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\windows\runner\utils.h", "C++", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\windows\runner\win32_window.h", "C++", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 46, 156, 248, 6400, 532, 37, 38, 42, 471, 8, 90, 891, 798, 9757
